Date,Route,Real_PM,Real_Distance,Model_PM,Model_Distance,Real_p_avg,Model_p_avg
03-Aug,R4,4.9854,4604,5.836,4801,110.6,137.8
03-Aug,R4b,4.57,4604,5.154,4801,100.5,124.1
02-Aug,R1,4.193,4604,5.19,4731,96.2,117.8
01-Aug,R1,8.133,4573,5.578,4469,179.7,121.6
01-Aug,R2,6.645,1250,4.24,1356,39.8,40
28-Jul,R3,1.5725,3073,4.63,3193,22.9,63.6
28-Jul,R2,0.7088,1351,5.005,1350,4.2,27.6
28-Jul,R1,1.221,4227,4.97,4316,26.9,103.3
20-Jul,R1,2.364,4518,5.78,4668,52.3,107.4
20-Jul,R2,2.04,1313,5.028,1358,11.81,26.7
20-Jul,R3,2.5,2710,4.43,2696,33.5,72.5